,년도,리그,소속,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,차단된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격지역패스시도,공격지역패스성공,공격지역패스성공%,수비지역패스시도,수비지역패스성공,수비지역패스성공%,중앙지역패스시도,중앙지역패스성공,중앙지역패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,숏패스시도,숏패스성공,숏패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
29,2023,K리그2,부산,라마스,FW,10,1306,4,6,45,17,9,19,13,32,3,26,36,1,9,3,33.3,593,454,76.6,24,248,156,0.0,156,145,92.9,189,153,81.0,212,169,79.7,33,26,78.8,348,259,74.4,64,48,75.0,142,106,74.6,387,300,77.5,44,11,25.0,7,20,13,65.0,42,12,60.0,18,2,11.1,4,21,10,83,13,14,10,17,0,0
30,2023,K리그2,부산,박동진,FW,49,603,0,0,10,4,1,5,8,2,0,0,0,3,7,1,14.3,126,78,61.9,5,62,27,0.0,29,26,89.7,35,25,71.4,57,35,61.4,7,3,42.9,62,40,64.5,8,4,50.0,32,17,53.1,86,57,66.3,5,1,20.0,0,5,4,80.0,50,21,420.0,4,0,0.0,3,5,2,29,3,8,2,9,1,0
31,2023,K리그2,부산,성호영,FW,23,655,3,0,13,6,2,5,9,4,0,2,6,5,6,1,16.7,243,190,78.2,10,59,31,0.0,101,94,93.1,83,65,78.3,100,77,77.0,23,16,69.6,120,97,80.8,10,4,40.0,53,43,81.1,180,143,79.4,13,5,38.5,2,7,0,0.0,15,3,42.9,23,7,30.4,5,20,25,30,13,7,11,9,0,0
32,2023,K리그2,부산,어정원,FW,2,196,0,0,2,0,0,2,0,2,0,1,0,16,1,0,0.0,132,109,82.6,1,49,30,0.0,47,47,100.0,36,32,88.9,30,23,76.7,24,16,66.7,78,70,89.7,13,6,46.2,41,30,73.2,78,73,93.6,9,0,0.0,0,3,1,33.3,4,3,100.0,5,1,20.0,5,11,7,14,2,2,3,2,0,0
33,2023,K리그2,부산,이상헌,FW,22,48,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,23,21,91.3,0,8,6,0.0,8,8,100.0,7,7,100.0,5,5,100.0,2,2,100.0,16,14,87.5,0,0,0.0,8,8,100.0,15,13,86.7,0,0,0.0,0,1,0,0.0,1,0,0.0,3,2,66.7,0,0,0,2,0,0,0,0,0,0
34,2023,K리그2,부산,정원진,FW,14,365,0,0,8,1,2,5,0,8,1,3,2,0,2,0,0.0,118,93,78.8,2,42,26,0.0,35,34,97.1,41,33,80.5,36,27,75.0,15,9,60.0,67,57,85.1,12,8,66.7,20,14,70.0,86,71,82.6,4,1,25.0,1,3,1,33.3,9,3,100.0,4,1,25.0,3,6,6,22,8,4,1,3,0,0
35,2023,K리그2,부산,천지현,FW,24,48,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.0,13,10,76.9,0,4,2,0.0,3,3,100.0,6,5,83.3,5,4,80.0,1,1,100.0,7,5,71.4,2,1,50.0,3,3,100.0,8,6,75.0,1,0,0.0,0,1,0,0.0,1,0,0.0,0,0,0.0,2,1,1,2,0,0,1,0,0,0
36,2023,K리그2,부산,최건주,FW,99,958,1,0,18,7,3,8,15,3,3,0,0,2,21,5,23.8,152,117,77.0,12,27,14,0.0,71,63,88.7,54,40,74.1,87,69,79.3,3,3,100.0,62,45,72.6,2,1,50.0,41,33,80.5,109,83,76.1,21,3,14.3,1,9,4,44.4,38,10,111.1,13,4,30.8,6,7,6,41,8,14,10,8,1,0
37,2023,K리그2,부산,최기윤,FW,29,103,0,0,1,0,1,0,1,0,0,0,0,1,2,2,100.0,22,15,68.2,0,6,3,0.0,11,8,72.7,5,4,80.0,13,7,53.8,1,1,100.0,8,7,87.5,0,0,0.0,3,2,66.7,19,13,68.4,3,0,0.0,0,0,0,0.0,2,1,0.0,6,1,16.7,0,4,2,9,2,0,1,2,0,0
38,2023,K리그2,부산,페신,FW,7,734,3,2,13,9,0,4,9,4,1,0,0,2,10,4,40.0,167,140,83.8,7,45,30,0.0,65,60,92.3,57,50,87.7,74,59,79.7,12,11,91.7,81,70,86.4,6,5,83.3,28,25,89.3,133,110,82.7,6,0,0.0,5,17,5,29.4,22,7,41.2,12,7,58.3,3,10,11,36,9,7,4,9,0,0
