,년도,리그,소속,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,차단된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격지역패스시도,공격지역패스성공,공격지역패스성공%,수비지역패스시도,수비지역패스성공,수비지역패스성공%,중앙지역패스시도,중앙지역패스성공,중앙지역패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,숏패스시도,숏패스성공,숏패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
28,2021,K리그1,수원,염기훈,FW,26,62,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0,27,19,70.4,0,9,4,0.0,8,8,100.0,10,7,70.0,5,2,40.0,4,4,100.0,18,13,72.2,5,2,40.0,9,6,66.7,13,11,84.6,2,0,0.0,0,6,3,50.0,9,2,33.3,0,0,0.0,0,2,3,2,0,0,2,2,0,0
29,2021,K리그1,수원,유주안,FW,13,378,0,1,3,0,2,1,1,2,1,0,0,0,1,1,100.0,111,92,82.9,6,26,16,0.0,52,49,94.2,33,27,81.8,51,40,78.4,1,1,100.0,59,51,86.4,2,2,100.0,22,19,86.4,87,71,81.6,4,2,50.0,0,29,9,31.0,24,8,27.6,0,0,0.0,1,2,10,17,0,4,1,9,0,0
30,2021,K리그1,수원,전진우,FW,7,150,0,0,4,0,2,2,4,0,0,1,0,0,8,2,25.0,51,38,74.5,0,14,8,0.0,14,13,92.9,23,17,73.9,22,12,54.5,3,3,100.0,26,23,88.5,3,2,66.7,9,3,33.3,39,33,84.6,3,1,33.3,2,10,2,20.0,6,1,10.0,0,0,0.0,1,1,2,6,0,1,2,7,0,0
31,2021,K리그1,수원,정상빈,FW,29,1789,6,2,36,16,8,12,24,12,3,4,1,3,29,9,31.0,358,253,70.7,12,95,42,0.0,134,113,84.3,129,98,76.0,176,108,61.4,20,17,85.0,162,128,79.0,20,11,55.0,90,62,68.9,248,180,72.6,24,4,16.7,4,159,63,39.6,129,28,17.6,13,4,30.8,8,8,24,69,4,20,29,34,5,0
32,2021,K리그1,수원,제리치,FW,55,1127,6,1,19,8,2,9,14,5,6,1,0,0,2,0,0.0,271,165,60.9,3,105,38,0.0,69,61,88.4,97,66,68.0,72,36,50.0,26,17,65.4,173,112,64.7,13,8,61.5,62,34,54.8,196,123,62.8,0,0,0.0,0,90,36,40.0,204,97,107.8,8,3,37.5,15,11,26,40,0,11,25,20,0,0
33,2021,K리그1,수원,강태원,대기,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
34,2021,K리그1,수원,강현묵,대기,14,252,0,0,5,1,1,3,2,3,0,0,0,1,2,1,50.0,109,75,68.8,2,50,25,0.0,21,20,95.2,38,30,78.9,45,31,68.9,8,8,100.0,56,36,64.3,6,3,50.0,39,27,69.2,64,45,70.3,7,1,14.3,1,30,14,46.7,9,3,10.0,1,0,0.0,3,2,5,19,0,1,6,5,2,0
35,2021,K리그1,수원,고명석,대기,42,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15,11,73.3,0,8,5,0.0,1,1,100.0,6,5,83.3,1,0,0.0,3,3,100.0,11,8,72.7,1,0,0.0,11,9,81.8,3,2,66.7,0,0,0.0,0,1,0,0.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,1,1,0,0
36,2021,K리그1,수원,고승범,대기,7,71,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.0,21,18,85.7,0,11,8,0.0,3,3,100.0,7,7,100.0,0,0,0.0,7,5,71.4,14,13,92.9,2,1,50.0,8,8,100.0,11,9,81.8,0,0,0.0,0,9,5,55.6,1,0,0.0,1,1,100.0,0,2,3,6,0,1,2,1,0,0
37,2021,K리그1,수원,구대영,대기,90,81,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0.0,51,40,78.4,0,25,16,0.0,8,8,100.0,18,16,88.9,17,14,82.4,4,2,50.0,30,24,80.0,7,4,57.1,23,20,87.0,21,16,76.2,1,0,0.0,0,8,4,50.0,8,4,50.0,2,1,50.0,1,1,7,6,0,2,0,2,1,0
